pretty_formula,e_above_hull,energy_per_atom,formation_energy_per_atom
CoSn,0,-5.660130457,-0.100434564
CoSn3,0,-4.838892114,-0.054345446
TaCo3,0,-8.527537398,-0.231155345
Ta2Co,0,-10.52225298,-0.248558068
TaCo,0,-9.726122107,-0.243352342
CoTc3,0,-9.59862759,-0.05227136
TiCo,0,-7.893170615,-0.389609768
TiCo3,0,-7.564920125,-0.258142532
Ti2Co,0,-7.918071822,-0.283322139
VCo3,0,-7.771128857,-0.166976702
V3Co,0,-8.781366608,-0.188898823
Co3W,0,-8.652597966,-0.080195681
Y8Co5,0,-6.884526929,-0.169985014
YCo,0,-6.982919563,-0.194230318
YCo3,0,-7.107093428,-0.157751635
YCo2,0,-7.073773148,-0.177982205
Y2Co17,0,-7.13158274,-0.089231578
Y3Co,0,-6.768497086,-0.140460389
Zn13Co,0,-1.739257619,-0.049490257
Zn11Co2,0,-2.256684104,-0.085831508
Zn53Co7,0,-2.031317579,-0.077487877
Zr6Co23,0,-7.62695751,-0.219543663
Zr3Co,0,-8.398935653,-0.210795598
ZrCo,0,-8.115121055,-0.286362905
Zr2Co,0,-8.32490762,-0.256561533
ZrCo2,0,-7.898337117,-0.309166903
CrGa4,0,-4.509662478,-0.152534954
Cr3Ga,0,-8.035897441,-0.049061186
HfCr2,0,-9.857338433,-0.114780728
CrIr3,0,-9.284903843,-0.22785771
Mg149Cr,0,-1.673298521,-0.015414435
NbCr2,0,-9.832881283,-0.037365653
CrNi2,0,-7.08728066,-0.020996673
CrPd3,0,-6.380079308,-0.083939737
CrPt3,0,-7.210001515,-0.258203875
CrRh3,0,-8.049031928,-0.122102505
TaCr2,0,-10.49977917,-0.123461533
TiCr2,0,-9.171291688,-0.114446664
VCr,0,-9.40727117,-0.04560644
V3Cr,0,-9.25726516,-0.033119995
VCr3,0,-9.555845,-0.056660705
ZrCr2,0,-9.31802202,-0.044378793
CsGa7,0,-2.868875227,-0.09937221
CsGa3,0,-2.632658668,-0.130886075
Cs8Ga11,0,-2.27484349,-0.139438844
Cs2Hg27,0,-0.436286463,-0.091789144
CsHg2,0,-0.755808432,-0.25488478
Cs5Hg19,0,-0.646841359,-0.219880158
